Cu,Ni,Au,Pd,Pt,E<sub>Coh</sub> [eV/atom],C<sub>11</sub> [GPa],C<sub>22</sub> [GPa],C<sub>33</sub> [GPa],C<sub>12</sub> [GPa],C<sub>13</sub> [GPa],C<sub>23</sub> [GPa],C<sub>44</sub> [GPa],C<sub>55</sub> [GPa],C<sub>66</sub> [GPa],G<sub>V</sub> [GPa],G<sub>R</sub> [GPa],G [GPa],B [GPa],E<sub>VRH</sub> [GPa],Poisson's ratio []
62.5,0,12.5,25,0,3.58,189.42,183.19,175.86,126.64,125.00,135.29,66.28,72.19,62.30,50.92,41.05,45.99,146.93,124.93,0.36
62.5,0,25,12.5,0,3.48,180.33,181.13,168.77,126.45,130.52,128.41,59.43,61.94,56.48,45.23,37.05,41.14,144.56,112.73,0.37
12.5,0,25,62.5,0,3.61,185.23,183.68,184.19,141.81,141.84,143.69,65.12,68.91,67.34,48.66,35.64,42.15,156.42,116.03,0.38
12.5,0,25,62.5,0,3.60,183.21,183.18,185.16,144.24,141.72,141.40,64.97,64.44,66.79,47.52,35.00,41.26,156.25,113.77,0.38
12.5,0,62.5,25,0,3.35,172.64,159.36,163.15,132.27,126.96,147.67,30.97,50.09,27.55,27.61,17.51,22.56,145.44,64.35,0.43
25,0,62.5,12.5,0,3.30,165.70,168.61,166.41,126.69,131.08,132.18,37.94,45.89,41.15,32.38,27.50,29.94,142.29,83.93,0.40
25,0,62.5,12.5,0,3.31,168.50,181.76,176.07,127.26,131.27,129.48,48.53,51.45,61.54,41.53,34.67,38.10,144.70,105.08,0.38
25,0,12.5,62.5,0,3.68,191.86,188.39,192.41,141.60,139.35,139.87,72.73,73.80,75.06,54.44,41.72,48.08,157.14,130.89,0.36
81.25,0,12.5,6.25,0,3.49,176.87,170.52,166.22,119.90,131.89,132.21,58.51,56.65,71.90,46.05,33.92,39.98,142.40,109.69,0.37
81.25,0,12.5,6.25,0,3.49,176.38,176.11,176.71,124.14,127.60,128.10,64.11,77.67,72.70,52.85,40.73,46.79,143.21,126.59,0.35
81.25,0,6.25,12.5,0,3.55,194.62,185.45,192.38,129.20,116.46,124.12,74.10,89.91,83.93,63.10,51.54,57.32,145.78,152.03,0.33
12.5,0,81.25,6.25,0,3.17,174.11,173.79,168.05,116.52,135.61,132.99,27.25,50.45,47.58,33.78,27.81,30.79,142.91,86.19,0.40
12.5,0,6.25,81.25,0,3.72,194.84,193.36,192.52,141.81,150.10,146.66,65.34,71.48,71.14,51.07,38.82,44.95,161.98,123.43,0.37
12.5,0,6.25,81.25,0,3.72,194.51,194.51,196.51,147.16,144.74,144.74,66.02,70.66,70.66,51.40,40.25,45.82,162.09,125.63,0.37
6.25,0,81.25,12.5,0,3.20,162.43,162.43,163.99,132.88,133.60,133.60,35.48,40.80,40.80,29.34,23.54,26.44,143.22,74.72,0.41
6.25,0,81.25,12.5,0,3.20,168.05,164.63,166.34,130.93,131.85,133.75,36.01,49.74,42.12,32.41,26.42,29.41,143.57,82.60,0.40
6.25,0,12.5,81.25,0,3.68,187.45,189.18,189.50,146.11,147.31,148.79,64.83,66.38,66.49,47.80,35.11,41.45,161.17,114.54,0.38
87.5,0,6.25,6.25,0,3.51,171.15,175.80,166.58,123.47,135.23,125.85,59.52,64.03,82.06,49.72,35.04,42.38,142.51,115.68,0.36
87.5,0,6.25,6.25,0,3.52,179.49,179.70,177.75,120.60,122.99,132.80,75.26,78.01,79.22,57.20,43.43,50.31,143.30,135.13,0.34
87.5,0,6.25,6.25,0,3.51,166.80,166.80,162.07,133.17,130.00,130.00,67.50,65.81,65.81,46.66,30.79,38.72,142.44,106.52,0.38
6.25,0,87.5,6.25,0,3.14,171.31,167.83,165.50,127.25,127.92,135.98,31.06,43.26,27.73,27.98,24.86,26.42,142.99,74.66,0.41
6.25,0,87.5,6.25,0,3.14,172.28,165.01,167.95,130.62,123.68,135.53,34.65,42.72,27.04,28.58,25.10,26.84,142.77,75.77,0.41
6.25,0,87.5,6.25,0,3.14,172.56,172.56,166.09,120.62,133.55,133.55,25.79,42.29,42.29,30.31,26.26,28.28,142.96,79.60,0.41
6.25,0,6.25,87.5,0,3.72,200.44,196.52,193.04,142.98,146.83,153.13,64.08,70.20,67.70,50.20,38.92,44.56,163.99,122.57,0.38
6.25,0,6.25,87.5,0,3.72,195.90,195.90,194.10,146.94,148.94,148.94,63.59,68.16,68.16,49.39,38.38,43.88,163.95,120.87,0.38
6.25,0,6.25,87.5,0,3.72,188.69,189.63,191.01,142.63,147.97,148.46,65.73,67.19,67.94,48.85,36.38,42.62,160.83,117.47,0.38
